class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F225790001010101_000000072900C,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,described_by_source,,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/a7Qa4z8ocEzP,madrigal,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cAY8wr9pyjdc,Gaspara Stampa,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oBBFNavtyhgZ,Giovanni Pietro Cottone,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3FxhFqZuD8B9,"Di Giovan Pietro Cottone musico del serenissimo duca di Savoia, il secondo libro de madrigali a cinque voci",,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,instrumentation,,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PSMGGtjaVrHP,Qual fosse il mio martire,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,derivative_work,,,,,,,,,,,,,,
MusicComposition,Qual fosse il mio partire (Cottone),The altus part is missing in the second part.,,Qual fosse il mio partire (Cottone),Qual fosse il mio partire (Cottone).md,XQExXmkTHaZG,606488123100553883180,text,,,,,,,,,,,,,,
